time,Channel_H_dn,Channel_H_up,Channel_Q_dn,Channel_Q_up
2013-01-01 20:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-01 20:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-01 21:00:00,0.000000,3.696098,159.941321,500.000000
2013-01-01 21:15:00,0.000000,4.438611,264.670540,500.000000
2013-01-01 21:30:00,0.000000,4.904754,362.106709,500.000000
2013-01-01 21:45:00,0.000000,5.177758,428.083536,500.000000
2013-01-01 22:00:00,0.000000,5.317529,465.592671,500.000000
2013-01-01 22:15:00,0.000000,5.380267,484.915413,500.000000
2013-01-01 22:30:00,0.000000,5.404329,494.185268,500.000000
2013-01-01 22:45:00,0.000000,5.411320,498.279834,500.000000
2013-01-01 23:00:00,0.000000,5.411817,499.868072,500.000000
2013-01-01 23:15:00,0.000000,5.410423,500.340762,500.000000
2013-01-01 23:30:00,0.000000,5.408886,500.379193,500.000000
2013-01-01 23:45:00,0.000000,5.407722,500.287967,500.000000
2013-01-02 00:00:00,0.000000,5.406970,500.185709,500.000000
2013-01-02 00:15:00,0.000000,5.406534,500.107884,500.000000
2013-01-02 00:30:00,0.000000,5.406300,500.057630,500.000000
2013-01-02 00:45:00,0.000000,5.406186,500.028406,500.000000
2013-01-02 01:00:00,0.000000,5.406134,500.012780,500.000000
2013-01-02 01:15:00,0.000000,5.406113,500.005070,500.000000
2013-01-02 01:30:00,0.000000,5.406107,500.001598,500.000000
2013-01-02 01:45:00,0.000000,5.406106,500.000217,500.000000
2013-01-02 02:00:00,0.000000,5.406107,499.999781,500.000000
2013-01-02 02:15:00,0.000000,5.406108,499.999720,500.000000
2013-01-02 02:30:00,0.000000,5.406109,499.999778,500.000000
2013-01-02 02:45:00,0.000000,5.406109,499.999854,500.000000
2013-01-02 03:00:00,0.000000,5.406110,499.999914,500.000000
2013-01-02 03:15:00,0.000000,5.406110,499.999953,500.000000
2013-01-02 03:30:00,0.000000,5.406110,499.999977,500.000000
2013-01-02 03:45:00,0.000000,5.406110,499.999989,500.000000
2013-01-02 04:00:00,0.000000,5.406110,499.999996,500.000000
2013-01-02 04:15:00,0.000000,5.406110,499.999999,500.000000
2013-01-02 04:30:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 04:45:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 05:00:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 05:15:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 05:30:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 05:45:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 06:00:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 06:15:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 06:30:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 06:45:00,0.000000,5.406110,500.000000,500.000000
2013-01-02 07:00:00,0.000000,2.791234,440.058679,100.000000
2013-01-02 07:15:00,0.000000,2.048721,335.329460,100.000000
2013-01-02 07:30:00,0.000000,1.582578,237.893291,100.000000
2013-01-02 07:45:00,0.000000,1.309574,171.916465,100.000000
2013-01-02 08:00:00,0.000000,1.169804,134.407330,100.000000
2013-01-02 08:15:00,0.000000,1.107066,115.084587,100.000000
2013-01-02 08:30:00,0.000000,1.083003,105.814733,100.000000
2013-01-02 08:45:00,0.000000,1.076012,101.720167,100.000000
2013-01-02 09:00:00,0.000000,1.075515,100.131929,100.000000
2013-01-02 09:15:00,0.000000,1.076909,99.659239,100.000000
2013-01-02 09:30:00,0.000000,1.078446,99.620808,100.000000
2013-01-02 09:45:00,0.000000,1.079611,99.712033,100.000000
2013-01-02 10:00:00,0.000000,1.080362,99.814291,100.000000
2013-01-02 10:15:00,0.000000,1.080798,99.892116,100.000000
2013-01-02 10:30:00,0.000000,1.081032,99.942370,100.000000
2013-01-02 10:45:00,0.000000,1.081147,99.971594,100.000000
2013-01-02 11:00:00,0.000000,1.081198,99.987220,100.000000
2013-01-02 11:15:00,0.000000,1.081219,99.994930,100.000000
2013-01-02 11:30:00,0.000000,1.081225,99.998403,100.000000
2013-01-02 11:45:00,0.000000,1.081226,99.999783,100.000000
2013-01-02 12:00:00,0.000000,1.081225,100.000219,100.000000
2013-01-02 12:15:00,0.000000,1.081224,100.000280,100.000000
2013-01-02 12:30:00,0.000000,1.081223,100.000222,100.000000
2013-01-02 12:45:00,0.000000,1.081223,100.000146,100.000000
2013-01-02 13:00:00,0.000000,1.081222,100.000087,100.000000
2013-01-02 13:15:00,0.000000,1.081222,100.000047,100.000000
2013-01-02 13:30:00,0.000000,1.081222,100.000024,100.000000
2013-01-02 13:45:00,0.000000,1.081222,100.000011,100.000000
2013-01-02 14:00:00,0.000000,1.081222,100.000004,100.000000
2013-01-02 14:15:00,0.000000,1.081222,100.000002,100.000000
2013-01-02 14:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 14:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 15:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 15:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 15:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 15:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 16:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 16:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 16:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 16:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 17:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 17:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 17:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 17:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 18:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 18:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 18:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 18:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 19:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 19:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 19:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 19:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 20:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 20:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 20:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 20:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 21:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 21:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 21:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 21:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 22:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 22:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 22:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 22:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 23:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 23:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 23:30:00,0.000000,1.081222,100.000000,100.000000
2013-01-02 23:45:00,0.000000,1.081222,100.000000,100.000000
2013-01-03 00:00:00,0.000000,1.081222,100.000000,100.000000
2013-01-03 00:15:00,0.000000,1.081222,100.000000,100.000000
2013-01-03 00:30:00,0.000000,1.081222,100.000000,100.000000
